"tiniebeany climate change is an interesting hustle as it was global warming but the planet stopped warming for 15 yes while the suv boom", -1
"fabulous leonardo dicaprios film on climate change is brilliant do watch  via youtube", 1
"unamshow awache kujinga na iko global warming  ", 0
"beforetheflood watch beforetheflood right here as leodicaprio travels the world to tackle climate change  ", 1
"bangladesh did not cause climate change so the country does not need aid instead it needs compensation for the  ", 1
"nows the time we need a strong ftt that works for those hardest hit by climate change and poverty", 1
"mariedunkley arseholes couldnt predict tomorrows weather in a 4 month heat wave yet we trust them on climate change narrr", -1
"we must combat climate change indigenous ppl are protesting for our earth our water yet this happens  ", 1
"national geographics climate change documentary with leonardo dicaprio is now on youtube  via thenextweb", 0
"everyone should take the time to watch natgeo climate change docufilm with leonardo dicaprio time to be about it and stop talking about it", 1
"boingboing watch before the flood an urgent call to arms about climate change   ", 1
"if not for climate change information watch before the flood because leonardo dicaprio", 0
"a web of truths this is how climate change affects more than just the weather  ad  ", 1
"leodicaprio natgeochannel i watched it just now everybody esp world leaders must stand together and act on climate change", 1
"nicely said financiers are not philanthropists but  allies in the fight against climate change in french  ", 1
"mikebloomberg leodicaprio why arent you vegan meat industry contributes greatly to climate change and deforestation", 1
"the mediterranean will become a desert unless global warming is limited to 15c", 1
"respecting first nations sovereignty fighting petrocapitalism standing up against climate change get after it nodapl", 1
"a huge climate change victory just happened in rwanda  and few people noticed   ", 1
"annaapage i asked my dad to watch this documentary that just came out on climate change and legit turned it into a trump vs hillary thing", 0
"watch on periscope global warming winston neace  ", 0
"bmastenbrook yes wrote that in 3rd yr comp sci ethics part was told by climate change denying lecturer that i was wrong amp marked down", 1
"national geographics climate change doc with dicaprio is on youtube  ", 0
"how do ghosts cool their environment and could we use that to combat global warming funny", 0
"sirmycroft guiteric100 rickygervais its like not believing in global warming you opposing war doesnt make the world a peaceful place", 1
"9 ways global warming is affecting daily life lakes disappearing drinking water supply at risk  via envdefensefund", 1
"watch leonardo dicaprios climate change documentary free for limited time   ", 0
"ronbaalke newegg and with climate change we can expect asteroids to become more frequent and powerful", 0
"certainsm1 im creating a new think tank for climate change would you join and post your tweet also at  ", 1
"100 agree with drjillstein on climate change the choices in this election look to be 100 steps backwards 50 steps forward or zero", 1
"75 degrees in stl on last day in october i am all for this global warming hoax", 0
"yall still dont believe in global warming smh  ", 1
"everyone must watch beforetheflood great documentary produced by leodicaprio amp his team showing effects of climate change eyeopening", 1
"angienbc6 you do understand that climate change is natural not necessarily caused by humans it snowed in miami and the atlantic froze", -1
"niggas asked me what my inspiration was l said global warming", 0
"they ask me my inspiration i tell em global warming too cozy", 0
"probably the scariest thing youll watch this halloween leonardo di caprios climate change documentary  ", 1
"potus watching leodicaprio docu funny you talk up doing something about climate change yet do nothing on dapl nodapl climateaction", 1
"tlwiese hillaryclinton realdonaldtrump hes hot headed and vindictive hes pro use of nukes he thinks climate change is a hoax", 1
"fisherstevensbk beforetheflood taught me more about climate change than my entire formal education insightful and bold", 1
"michellemalkin trump wins election amp he is now a catalyst for climate change in wash no more cush jobs they will be accountablenopension", 0
"global climate action agenda at cop22  governments alone cannot solve global warming climate change affects us  ", 1
"the new natgeo amp leodicaprio documentary on climate change beforetheflood is on youtube  ", 1
"the worst thing about global warming is it allows people to wear flipflops in public later on into the year", 0
"company directors to face penalties for ignoring climate change auspol politicians should too  ", 1
"realdonaldtrump for president now he just needs to realize the reality of climate change amongst a few other things ivoted", 1
"stp with the global climate change put your efforts toward selling the sizzel evs and pvs the key is more homes with solar solarchat", 1
"leos climate change documentary is so epic hes amazing", 1
"that climate change story youve always wanted to tell  nows the time climateaction film contest  ", 1
"before the flood  national geographic  join leonardo dicaprio as he explores the topic of climate change  ", 1
"bhandel58 climate change is not the only thing of importance going on in the world role of govt is not to try to be the sun", 1
"if scientists cant convince the us that climate change is real how can its citizens convince eachother to change", 1
"adapting to climate change  ", 1
"repdonbeyer be sure to personally invite me to this like you said you did at the climate change forum never got it  ", 0
"join leodicaprio as he searches for answers on the issue of climate change beforetheflood starts now  ", 1
